Scratch-Off Prizes as of 03/18/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1376,Elvis,,2,100,7588,5611
1376,Elvis,,2,1000,55,42
1376,Elvis,,2,20000,8,6
1376,Elvis,,2,TOTAL,1866151,1307237
1377,$100000 Extreme Cash,,5,5,675948,493730
1377,$100000 Extreme Cash,,5,10,1013880,747119
1377,$100000 Extreme Cash,,5,20,193122,143699
1377,$100000 Extreme Cash,,5,50,86821,65075
1377,$100000 Extreme Cash,,5,100,15097,11252
1377,$100000 Extreme Cash,,5,500,1082,801
1377,$100000 Extreme Cash,,5,1000,133,98
1377,$100000 Extreme Cash,,5,100000,7,4
1377,$100000 Extreme Cash,,5,TOTAL,1986090,1461778
1378,Instant Cash Five,05/30/2012,1,Cash Five&reg; Quick Pick,1728950,1418145
