Scratch-Off Prizes as of 03/14/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1350,"Bingo Multi-Prize","",5,"100","32454","19675"
1350,"Bingo Multi-Prize","",5,"200","14162","8531"
1350,"Bingo Multi-Prize","",5,"500","3714","2344"
1350,"Bingo Multi-Prize","",5,"1000","93","56"
1350,"Bingo Multi-Prize","",5,"2000","29","20"
1350,"Bingo Multi-Prize","",5,"5000","44","25"
1350,"Bingo Multi-Prize","",5,"20000","16","5"
1350,"Bingo Multi-Prize","",5,"50000","16","12"
1350,"Bingo Multi-Prize","",5,TOTAL,"4379281","2659222"
1351,"Bonus Cashword","",3,"3","3456712","2556795"
1351,"Bonus Cashword","",3,"5","4444256","3524738"
1351,"Bonus Cashword","",3,"10","617200","496739"
1351,"Bonus Cashword","",3,"20","370419","299795"
1351,"Bonus Cashword","",3,"100","63264","51276"
1351,"Bonus Cashword","",3,"500","12815","10395"
1351,"Bonus Cashword","",3,"5000","78","65"
1351,"Bonus Cashword","",3,"35000","52","40"
1351,"Bonus Cashword","",3,TOTAL,"8964796","6939843"
1353,"9's In A Line","04/04/2012",1,"1","1245481","1126020"
1353,"9's In A Line","04/04/2012",1,"2","2075766","1928515"
1353,"9's In A Line","04/04/2012",1,"4","519062","491126"
1353,"9's In A Line","04/04/2012",1,"5","138403","131628"
1353,"9's In A Line","04/04/2012",1,"10","138322","132666"
1353,"9's In A Line","04/04/2012",1,"20","60629","58439"
1353,"9's In A Line","04/04/2012",1,"40","33678","32497"
1353,"9's In A Line","04/04/2012",1,"100","1731","1663"
1353,"9's In A Line","04/04/2012",1,"999","173","166"
1353,"9's In A Line","04/04/2012",1,TOTAL,"4213245","3902720"
1354,"$500 Million Frenzy","",20,"20","6575037","2130110"
1354,"$500 Million Frenzy","",20,"25","2768530","889439"
1354,"$500 Million Frenzy","",20,"30","1384265","453318"
1354,"$500 Million Frenzy","",20,"50","692113","223629"
1354,"$500 Million Frenzy","",20,"100","836412","270246"
1354,"$500 Million Frenzy","",20,"200","151368","49115"
1354,"$500 Million Frenzy","",20,"500","46140","14715"
1354,"$500 Million Frenzy","",20,"1000","23048","7346"
1354,"$500 Million Frenzy","",20,"10000","886","281"
1354,"$500 Million Frenzy","",20,"25000","296","96"
1354,"$500 Million Frenzy","",20,"1000000","40","12"
1354,"$500 Million Frenzy","",20,"2500000","10","3"
1354,"$500 Million Frenzy","",20,TOTAL,"12478145","4038310"
1355,"Weekly Grand","",2,"2","4614454","2179709"
1355,"Weekly Grand","",2,"4","3121269","1531699"
1355,"Weekly Grand","",2,"5","203597","99850"
1355,"Weekly Grand","",2,"10","339513","170555"
1355,"Weekly Grand","",2,"20","203518","95164"
1355,"Weekly Grand","",2,"40","188862","95778"
